Histórico de cotações - BBAS3;
Date;value
23/12/2020;38,83
22/12/2020;38,34
21/12/2020;38,11
18/12/2020;39,2
17/12/2020;39,32
16/12/2020;38,99
15/12/2020;39,16
14/12/2020;38,84
11/12/2020;38,31
10/12/2020;37,21
09/12/2020;36,28
08/12/2020;36,94
07/12/2020;36,71
04/12/2020;35,66
03/12/2020;35,47
02/12/2020;34,85
01/12/2020;34,9
30/11/2020;34,03
27/11/2020;34,86
26/11/2020;34,7
25/11/2020;35,05
24/11/2020;35,61
23/11/2020;34,67
20/11/2020;34,37
19/11/2020;34,73
18/11/2020;34,27
17/11/2020;34
16/11/2020;33,94
13/11/2020;32,85
12/11/2020;33,05
11/11/2020;34,15
10/11/2020;34,09
09/11/2020;32,61
06/11/2020;30,39
05/11/2020;30,74
04/11/2020;30,4
03/11/2020;30,13
30/10/2020;30,06
29/10/2020;30,74
28/10/2020;31,51
27/10/2020;33,11
26/10/2020;33,4
23/10/2020;33,77
22/10/2020;33,17
21/10/2020;32,22
20/10/2020;31,73
19/10/2020;30,8
16/10/2020;30,52
15/10/2020;30,93
14/10/2020;31,08
13/10/2020;31,03
09/10/2020;31,1
08/10/2020;30,8
07/10/2020;29,98
06/10/2020;30,36
05/10/2020;29,95
02/10/2020;30,06
01/10/2020;29,53
30/09/2020;29,71
29/09/2020;29,97
28/09/2020;30,98
25/09/2020;30,17
24/09/2020;30,52
23/09/2020;30,45
22/09/2020;30,99
21/09/2020;30,81
18/09/2020;31,52
17/09/2020;32,04
16/09/2020;32,29
15/09/2020;32,06
14/09/2020;32,19
11/09/2020;32,01
10/09/2020;32,82
09/09/2020;33,25
08/09/2020;33,33
04/09/2020;33,92
03/09/2020;34,12
02/09/2020;33,03
01/09/2020;33,27
31/08/2020;32,87
31/08/2020;32,87
28/08/2020;33,32
27/08/2020;32,96
26/08/2020;32,55
25/08/2020;33,34
24/08/2020;33,48
21/08/2020;32,71
20/08/2020;32,25
19/08/2020;32,69
18/08/2020;32,66
17/08/2020;32,49
14/08/2020;33,2
13/08/2020;33,59
12/08/2020;33,59
11/08/2020;34,4
10/08/2020;34,2
07/08/2020;34,05
06/08/2020;33,99
05/08/2020;33,45
04/08/2020;33,54
03/08/2020;34,47
31/07/2020;33,93
30/07/2020;34,83
29/07/2020;35,67
28/07/2020;35,38
27/07/2020;34,48
24/07/2020;34,11
23/07/2020;34,57
22/07/2020;35,11
21/07/2020;35,75
20/07/2020;35,3
17/07/2020;35,1
16/07/2020;34,35
15/07/2020;34,68
14/07/2020;34,06
13/07/2020;34,34
10/07/2020;33,96
09/07/2020;34,02
08/07/2020;33,89
07/07/2020;33,7
06/07/2020;34,53
03/07/2020;33,2
02/07/2020;33,54
01/07/2020;32,95
30/06/2020;32,48
29/06/2020;32,83
26/06/2020;32,13
25/06/2020;32,55
24/06/2020;32,47
23/06/2020;33,57
22/06/2020;33,64
19/06/2020;34,33
18/06/2020;34,52
17/06/2020;34,18
16/06/2020;33,59
15/06/2020;32,28
12/06/2020;33,26
10/06/2020;34,84
09/06/2020;36,2
08/06/2020;36,16
05/06/2020;36,16
04/06/2020;34,62
03/06/2020;34,62
02/06/2020;32,6
01/06/2020;31,61
29/05/2020;30,33
28/05/2020;30,84
27/05/2020;30,85
26/05/2020;31,24
25/05/2020;30,81
22/05/2020;28,5
21/05/2020;28,65
20/05/2020;27,25
19/05/2020;27,14
18/05/2020;27,26
15/05/2020;26,39
14/05/2020;25,64
13/05/2020;25,75
12/05/2020;26,9
11/05/2020;27,49
08/05/2020;27,2
07/05/2020;26,66
06/05/2020;27,16
05/05/2020;28,06
04/05/2020;27,39
30/04/2020;28,33
29/04/2020;29,48
28/04/2020;28,32
27/04/2020;25,67
24/04/2020;25,05
23/04/2020;28,69
22/04/2020;28,93
20/04/2020;28,9
17/04/2020;29,55
16/04/2020;29,27
15/04/2020;29,66
14/04/2020;30,98
13/04/2020;29,4
09/04/2020;30,18
08/04/2020;29,72
07/04/2020;29,98
06/04/2020;27,73
03/04/2020;25,5
02/04/2020;27,14
01/04/2020;26,64
31/03/2020;28,47
30/03/2020;28,88
27/03/2020;28,64
26/03/2020;30,43
25/03/2020;28,31
24/03/2020;25,45
23/03/2020;22,51
20/03/2020;26,26
19/03/2020;25,52
18/03/2020;27,16
17/03/2020;31,76
16/03/2020;30,72
13/03/2020;34,78
12/03/2020;29,38
11/03/2020;36,58
10/03/2020;38,97
09/03/2020;37,96
06/03/2020;42,03
05/03/2020;43,76
05/03/2020;43,76
04/03/2020;45,65
03/03/2020;46,1
02/03/2020;46,95
28/02/2020;45,99
27/02/2020;46,32
26/02/2020;45,9
21/02/2020;48,85
20/02/2020;49,14
19/02/2020;49,88
18/02/2020;49,31
17/02/2020;49,53
14/02/2020;50,21
13/02/2020;51
12/02/2020;51,46
11/02/2020;51,21
10/02/2020;49,29
07/02/2020;49,82
06/02/2020;49,81
05/02/2020;50,51
04/02/2020;48,8
03/02/2020;48,78
31/01/2020;48,68
30/01/2020;48,91
29/01/2020;49,85
28/01/2020;50,67
27/01/2020;50,43
24/01/2020;51,08
23/01/2020;50,3
22/01/2020;48,64
21/01/2020;48,63
20/01/2020;49,75
17/01/2020;50,06
16/01/2020;49,44
15/01/2020;49,27
14/01/2020;50
13/01/2020;50,15
10/01/2020;50,44
09/01/2020;51,3
08/01/2020;52,44
07/01/2020;52,5
06/01/2020;52,96
03/01/2020;53,56
02/01/2020;53,64
30/12/2019;53
27/12/2019;52,84
26/12/2019;52,96
23/12/2019;51,96
20/12/2019;50,83
19/12/2019;50,78
18/12/2019;49,89
17/12/2019;48,49
16/12/2019;48,53
13/12/2019;49,04
12/12/2019;48,38
11/12/2019;47,83
10/12/2019;48,05
09/12/2019;48,64
06/12/2019;48,53
05/12/2019;48,73
04/12/2019;48,83
03/12/2019;48,33
02/12/2019;47,88
29/11/2019;47,75
28/11/2019;47,36
27/11/2019;46,38
26/11/2019;45,93
25/11/2019;46,52
22/11/2019;46,63
21/11/2019;46,19
19/11/2019;45,93
18/11/2019;46,51
14/11/2019;46,46
13/11/2019;46,17
12/11/2019;46,79
11/11/2019;47,09
08/11/2019;47,21
07/11/2019;47,82
06/11/2019;47,7
05/11/2019;48
04/11/2019;47,84
01/11/2019;47,93
31/10/2019;48,22
30/10/2019;48,58
29/10/2019;48,8
28/10/2019;48,38
25/10/2019;47,6
24/10/2019;47,48
23/10/2019;47,59
22/10/2019;47,16
21/10/2019;46,27
18/10/2019;46,07
17/10/2019;45,11
16/10/2019;44,57
15/10/2019;44,55
14/10/2019;45,19
11/10/2019;45,23
10/10/2019;44,47
09/10/2019;43,74
08/10/2019;43,47
07/10/2019;44,38
04/10/2019;45,22
03/10/2019;44,58
02/10/2019;43,6
01/10/2019;45,09
30/09/2019;45,69
27/09/2019;45,69
26/09/2019;45,77
25/09/2019;45,34
24/09/2019;46,14
23/09/2019;47,17
20/09/2019;47,44
19/09/2019;47,69
18/09/2019;47,87
17/09/2019;47,1
16/09/2019;46,92
13/09/2019;47,6
12/09/2019;47,88
11/09/2019;48,54
10/09/2019;49,29
09/09/2019;50,01
06/09/2019;48,91
05/09/2019;47,28
04/09/2019;45,48
03/09/2019;45,14
02/09/2019;45,97
30/08/2019;46,08
30/08/2019;46,08
29/08/2019;44,64
28/08/2019;43,92
27/08/2019;44,41
26/08/2019;44,56
23/08/2019;45,31
22/08/2019;46,87
21/08/2019;46,66
20/08/2019;44,72
19/08/2019;45,55
16/08/2019;45,75
15/08/2019;45,88
14/08/2019;46,24
13/08/2019;47,74
12/08/2019;47,22
09/08/2019;48,69
08/08/2019;48,91
07/08/2019;48,12
06/08/2019;48,59
05/08/2019;47,88
02/08/2019;48,53
01/08/2019;49,47
31/07/2019;49,63
30/07/2019;49,99
29/07/2019;50,3
26/07/2019;50,18
25/07/2019;50,66
24/07/2019;52,26
23/07/2019;51,58
22/07/2019;52,29
19/07/2019;52,36
18/07/2019;52,53
17/07/2019;51,73
16/07/2019;51,78
15/07/2019;51,66
12/07/2019;52,35
11/07/2019;53,26
10/07/2019;55
08/07/2019;55,08
05/07/2019;54,94
04/07/2019;54,98
03/07/2019;53,6
02/07/2019;53,46
01/07/2019;53,99
28/06/2019;53,83
27/06/2019;53,57
26/06/2019;53,42
25/06/2019;52,94
24/06/2019;53,33
21/06/2019;53,15
